Momentum,Energy
0, 0
0.07692307692307643, 0.06716417910447747
0.13122171945701322, 0.10447761194029836
0.1855203619909498, 0.14179104477611926
0.23981900452488647, 0.18656716417910424
0.29411764705882315, 0.23134328358208944
0.3348416289592757, 0.26865671641791034
0.3891402714932124, 0.31343283582089554
0.4434389140271491, 0.3582089552238805
0.49773755656108554, 0.4029850746268657
0.5520361990950224, 0.4477611940298507
0.6063348416289591, 0.5
0.6606334841628956, 0.5522388059701493
0.7420814479638007, 0.626865671641791
0.8642533936651584, 0.7014925373134328
0.9457013574660631, 0.753731343283582
1.0271493212669682, 0.8208955223880597
1.1493212669683257, 0.9029850746268656
1.2714932126696832, 0.9701492537313433
1.3800904977375565, 1.0149253731343284
1.502262443438914, 1.0671641791044775
1.6244343891402715, 1.1044776119402986
1.7737556561085972, 1.1417910447761195
1.923076923076923, 1.164179104477612
2.085972850678733, 1.1865671641791045
2.262443438914027, 1.1940298507462686
2.46606334841629, 1.1791044776119404
2.615384615384616, 1.1567164179104477
2.7647058823529416, 1.126865671641791
2.900452488687783, 1.0746268656716418
3.0361990950226247, 1.0149253731343284
3.1990950226244355, 0.9477611940298507
3.3076923076923084, 0.8955223880597015
3.4705882352941186, 0.8283582089552238
3.60633484162896, 0.7761194029850745
3.8099547511312224, 0.746268656716418
3.9728506787330327, 0.7686567164179104
4.0678733031674215, 0.8134328358208954
4.162895927601811, 0.8656716417910447
4.244343891402716, 0.9328358208955224
4.3257918552036205, 1
4.407239819004525, 1.0746268656716418
4.488687782805431, 1.1417910447761195
4.597285067873305, 1.2313432835820897
4.7058823529411775, 1.3059701492537314
4.814479638009051, 1.3656716417910448
4.9366515837104075, 1.4253731343283582
