Momentum,velocity
0.05798695897174444, 243.3734939759036
0.18501623420184088, 245.7831325301205
0.2986824804787078, 248.19277108433735
0.42571175570880415, 250.6024096385542
0.5927496176241718, 250.6024096385542
0.6794080553841202, 244.57831325301206
0.8193978586953607, 234.93975903614458
0.952424396919527, 216.86746987951807
1.0520433627606196, 198.7951807228916
1.1582633429039098, 178.3132530120482
1.2711245874366066, 156.6265060240964
1.39714761048649, 128.9156626506024
1.5298521480129879, 101.20481927710844
1.676000214667132, 75.90361445783134
1.8289102959723083, 53.01204819277103
2.0153084498349747, 32.53012048192767
2.1350524592803284, 16.867469879518012
2.2747605119811096, -1.2048192771084132
2.4010652856414527, -20.481927710843422
2.50736576595916, -38.554216867469904
2.620227010491856, -60.24096385542174
2.7397295194139595, -83.13253012048193
2.885877586068104, -108.43373493975906
3.0655539753669476, -130.12048192771084
3.259116644752731, -136.14457831325308
3.4600853301848824, -120.48192771084342
3.621528429978265, -87.9518072289157
3.7298414146563985, -45.7831325301205
3.8113880913408655, -4.819277108433766
3.893095768374166, 40.96385542168673
3.94091287197789, 72.28915662650599
4.029624064185473, 127.71084337349399
4.138460299997317, 185.54216867469881
4.274062843802829, 244.57831325301206
4.408377384817668, 265.06024096385545
4.514999865833044, 256.6265060240964
4.614417581238094, 232.53012048192772
4.687109238736684, 208.43373493975903
4.766120159927014, 173.49397590361446
4.851772345506749, 137.34939759036143
4.92446400300534, 113.25301204819277
4.996954410067889, 83.1325301204819
